"type","label","hidden","current_path","proposed_path","decision","priority","rationale","replacement","courses","local_examples","evidence_scope","placement","source"
"sz_g2d_aim_at","Apontar o sprite %1 para o sprite %2","false","Jogo 2D > 🎯 Mira e contas","Movimento > Direção e distância","MANTER / REORGANIZAR","P1","Agrupar o alvo e as medidas do movimento; manter operações distintas.","","","Sobrevivente","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:417"
"sz_g2d_move_toward","Mover o sprite %1 na direção do sprite %2 com velocidade %3","false","Jogo 2D > 🎯 Mira e contas","Movimento > Direção e distância","MANTER / REORGANIZAR","P1","Agrupar o alvo e as medidas do movimento; manter operações distintas.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:430"
"sz_g2d_distance","a distância entre o sprite %1 e o sprite %2","false","Jogo 2D > 🎯 Mira e contas","Movimento > Direção e distância","MANTER / REORGANIZAR","P1","Agrupar o alvo e as medidas do movimento; manter operações distintas.","","","Sobrevivente","catálogo e inspeção direcionada; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:445"
"sz_g2d_angle_to","o ângulo (em graus) do sprite %1 até o sprite %2","false","Jogo 2D > 🎯 Mira e contas","Movimento > Direção e distância","MANTER / REORGANIZAR","P1","Agrupar o alvo e as medidas do movimento; manter operações distintas.","","","","catálogo e inspeção direcionada; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:456"
"sz_g2d_random_between","um número de %1 a %2","false","Jogo 2D > 🎯 Mira e contas","Sorteios > Números e posições","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Corre Dino","Chuva de números | Pegue a moeda | Pong | Dino Corredor | Batalha de Monstrinhos | Chuva de Meteoros | Sobrevivente | Herói que Evolui","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:467"
"sz_g2d_random_chance","tem chance de %1%%?","false","Jogo 2D > 🎯 Mira e contas","Sorteios > Números e posições","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Batalha de Monstrinhos | Safári de Monstros | Treinador de Criaturas | Sobrevivente | Herói que Evolui","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:480"
"sz_g2d_random_x","um x aleatório na tela","false","Jogo 2D > 🎯 Mira e contas","Sorteios > Números e posições","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Desafio primeiro jogo","Jogo desenhado por código | Nave contra Asteroides | Chuva de Meteoros","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:503"
"sz_g2d_random_y","um y aleatório na tela","false","Jogo 2D > 🎯 Mira e contas","Sorteios > Números e posições","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Jogo desenhado por código","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:511"
"sz_g2d_set_health","Dar ao sprite %1 %2 de vida","false","Jogo 2D > ❤️ Vida","Vida e placar > Vida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Desafio primeiro jogo","Plataforma com inimigos | Nave contra Asteroides | Dino Run | Batalha de Monstrinhos | Aventura do Herói | Duelo de Heróis | Reino Zero | Vale Ensolarado | Vila Ninja | Treinador de Criaturas | Sobrevivente | Herói que Evolui","triagem editorial do catálogo; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:521"
"sz_g2d_change_health","Mudar a vida do sprite %1 em %2","false","Jogo 2D > ❤️ Vida","Vida e placar > Vida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Plataforma com inimigos | Nave contra Asteroides | Batalha de Monstrinhos | Aventura do Herói | Duelo de Heróis | Reino Zero | Vale Ensolarado | Vila Ninja | Treinador de Criaturas | Sobrevivente | Herói que Evolui","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:536"
"sz_g2d_damage_sprite","Machucar o sprite %1 em %2 e deixá-lo invencível por %3 quadros","false","Jogo 2D > ❤️ Vida","Vida e placar > Vida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Desafio primeiro jogo","Nave contra Asteroides | Dino Run | Reino Zero","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:551"
"sz_g2d_get_health","a vida do sprite %1","false","Jogo 2D > ❤️ Vida","Vida e placar > Vida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Batalha de Monstrinhos | Duelo de Heróis | Reino Zero | Treinador de Criaturas","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:567"
"sz_g2d_get_max_health","a vida máxima do sprite %1","false","Jogo 2D > ❤️ Vida","Vida e placar > Vida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Batalha de Monstrinhos | Treinador de Criaturas","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:575"
"sz_g2d_has_health","o sprite %1 ainda tem vida?","false","Jogo 2D > ❤️ Vida","Vida e placar > Vida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:583"
"sz_g2d_health_depleted","as vidas do sprite %1 acabaram?","false","Jogo 2D > ❤️ Vida","Vida e placar > Vida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Desafio primeiro jogo","Plataforma com inimigos | Nave contra Asteroides | Dino Run | Batalha de Monstrinhos | Aventura do Herói | Reino Zero | Vale Ensolarado | Vila Ninja | Treinador de Criaturas | Sobrevivente | Herói que Evolui","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:591"
"sz_g2d_is_invincible","o sprite %1 está invencível?","false","Jogo 2D > ❤️ Vida","Vida e placar > Vida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Aventura do Herói | Vale Ensolarado | Vila Ninja | Sobrevivente | Herói que Evolui","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:600"
"sz_g2d_draw_sprite_health","Desenhar as vidas do sprite %1 como %2 em x %3 y %4 tamanho %5 cor %6","false","Jogo 2D > ❤️ Vida","Vida e placar > Vida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Desafio primeiro jogo","Plataforma com inimigos | Nave contra Asteroides | Dino Run | Aventura do Herói | Vale Ensolarado | Vila Ninja | Sobrevivente | Herói que Evolui","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:609"
"sz_g2d_cooldown_ready","o sprite %1 pode agir? (recarga de %2 quadros)","false","Jogo 2D > ⏱️ Tempo e repetição","Tempo > Quadros e intervalos","AJUSTAR","P0","A consulta já consome a recarga; não é pergunta pura. Preservar bloco antigo e propor comando com corpo que executa no máximo uma vez por intervalo, com chave por ação.","","","Duelo de Heróis | Sobrevivente","catálogo e inspeção direcionada; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:635"
"sz_g2d_prune_old","Tirar do grupo %1 quem viveu mais de %2 segundos","false","Jogo 2D > ⏱️ Tempo e repetição","Grupos > Participação e limpeza","AJUSTAR","P1","Remover vínculo com grupo não equivale a destruir um sprite; distinguir prazo, saída da tela e limpeza imediata.","","","Aventura do Herói | Vila Ninja | Herói que Evolui","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:647"
"sz_g2d_sprite_x","a posição x do sprite %1","false","Jogo 2D > 📐 Posição & tamanho","Movimento > Posição e tamanho","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Mundo Pirata | Safári de Monstros | Duelo de Heróis | Reino Zero","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:663"
"sz_g2d_sprite_y","a posição y do sprite %1","false","Jogo 2D > 📐 Posição & tamanho","Movimento > Posição e tamanho","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Desafio primeiro jogo","Chuva de Meteoros | Mundo Pirata | Safári de Monstros | Escalada do Guerreiro | Duelo de Heróis | Reino Zero","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:672"
"sz_g2d_sprite_w","a largura do sprite %1","false","Jogo 2D > 📐 Posição & tamanho","Movimento > Posição e tamanho","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:680"
"sz_g2d_sprite_h","a altura do sprite %1","false","Jogo 2D > 📐 Posição & tamanho","Movimento > Posição e tamanho","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:688"
"sz_g2d_center_x","o centro x do sprite %1","false","Jogo 2D > 📐 Posição & tamanho","Movimento > Posição e tamanho","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Desafio primeiro jogo","Plataforma com inimigos | Aventura do Herói | Chuva de Meteoros | Muralha do Reino | Duelo de Heróis | Reino Zero | Vale Ensolarado | Vila Ninja | Sobrevivente | Fazenda Feliz | Herói que Evolui","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:696"
"sz_g2d_center_y","o centro y do sprite %1","false","Jogo 2D > 📐 Posição & tamanho","Movimento > Posição e tamanho","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Plataforma com inimigos | Aventura do Herói | Reino Zero | Vale Ensolarado | Vila Ninja | Sobrevivente | Fazenda Feliz | Herói que Evolui","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:705"
"sz_g2d_sprite_vx","a velocidade x do sprite %1","false","Jogo 2D > 💨 Velocidade","Movimento > Velocidade","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:716"
"sz_g2d_sprite_vy","a velocidade y do sprite %1","false","Jogo 2D > 💨 Velocidade","Movimento > Velocidade","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Dino Corredor | Mundo Pirata | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Reino Zero | Vale Ensolarado","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:725"
"sz_g2d_sprite_speed","a velocidade total do sprite %1","false","Jogo 2D > 💨 Velocidade","Movimento > Velocidade","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:734"
"sz_g2d_is_moving","o sprite %1 está se movendo?","false","Jogo 2D > 💨 Velocidade","Movimento > Velocidade","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:742"
"sz_g2d_is_moving_h","o sprite %1 está se movendo na horizontal?","false","Jogo 2D > 💨 Velocidade","Movimento > Velocidade","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:750"
"sz_g2d_is_moving_v","o sprite %1 está se movendo na vertical?","false","Jogo 2D > 💨 Velocidade","Movimento > Velocidade","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:758"
"sz_g2d_flip_sprite","Virar o sprite %1 para %2","false","Jogo 2D > ✨ Aparência","Sprites > Aparência","MANTER / REORGANIZAR","P1","Espelhar aparência e direção visual não é girar o ângulo.","","","Aventura do Herói | Vila Ninja | Herói que Evolui","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:768"
"sz_g2d_set_opacity","Mudar a transparência do sprite %1 para %2 %","false","Jogo 2D > ✨ Aparência","Sprites > Aparência","AJUSTAR","P0","Valor 100 significa opaco, embora o rótulo diga transparência. Nome proposto: Deixar o sprite ... % visível; preservar os valores históricos.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:791"
"sz_g2d_set_size","Mudar o tamanho do sprite %1 para largura %2 altura %3","false","Jogo 2D > ✨ Aparência","Movimento > Posição e tamanho","AJUSTAR","P1","Tamanho absoluto e multiplicação acumulativa são diferentes; explicitar que multiplicar repetidamente faz crescer a cada quadro.","","","Reino Zero","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:805"
"sz_g2d_scale_sprite","Multiplicar o tamanho do sprite %1 por %2","false","Jogo 2D > ✨ Aparência","Movimento > Posição e tamanho","AJUSTAR","P1","Tamanho absoluto e multiplicação acumulativa são diferentes; explicitar que multiplicar repetidamente faz crescer a cada quadro.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:820"
"sz_g2d_wrap_edges","Dar a volta na tela com o sprite %1","false","Jogo 2D > 🕹️ Movimento","Movimento > Bordas e rebatidas","MANTER / REORGANIZAR","P1","Conter e atravessar para o outro lado produzem resultados diferentes.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:836"
"sz_g2d_pause","Pausar o jogo","false","Jogo 2D > 📺 Telas e cenas","Jogo e telas > Telas e partida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:848"
"sz_g2d_resume","Continuar o jogo","false","Jogo 2D > 📺 Telas e cenas","Jogo e telas > Telas e partida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:858"
"sz_g2d_is_paused","o jogo está pausado?","false","Jogo 2D > 📺 Telas e cenas","Jogo e telas > Telas e partida","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Reino Zero","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:867"
"sz_g2d_camera_follow","Bloco antigo: câmera seguir o sprite %1 (limites %2 x %3)","true","","Compatibilidade > Blocos históricos","MANTER COMPATIBILIDADE","P1","Compatibilidade já existente; conservar registro, codec e comportamento para projetos históricos.","","","","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:876"
"sz_g2d_set_camera","Bloco antigo: mover a câmera para x %1 y %2","true","","Compatibilidade > Blocos históricos","MANTER COMPATIBILIDADE","P1","Compatibilidade já existente; conservar registro, codec e comportamento para projetos históricos.","","","","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:893"
"sz_g2d_camera_x","a posição x da câmera","false","Jogo 2D > 🌍 Mundos","Cenários > Mundos e câmera","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:909"
"sz_g2d_camera_y","a posição y da câmera","false","Jogo 2D > 🌍 Mundos","Cenários > Mundos e câmera","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:916"
"sz_g2d_break_tile_at","Quebrar o tile do mapa %1 onde está o sprite %2","false","Jogo 2D > 🗺️ Mapas","Cenários > Mapas","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Aventura do Herói","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:925"
"sz_g2d_set_tile","No mapa %1, pôr o tile número %2 onde está o sprite %3","false","Jogo 2D > 🗺️ Mapas","Cenários > Mapas","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:938"
"sz_g2d_tile_at","o número do tile do mapa %1 onde está o sprite %2","false","Jogo 2D > 🗺️ Mapas","Cenários > Mapas","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Aventura do Herói","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:953"
"sz_g2d_bring_to_front","Trazer o sprite %1 para a frente no grupo %2","false","Jogo 2D > 📦 Muitos","Grupos > Desenho e ordem","MANTER / REORGANIZAR","P1","Ordem de desenho e pertencimento são conceitos distintos; preservar ordenação por base e suas implicações no clique.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:967"
"sz_g2d_send_to_back","Mandar o sprite %1 para trás no grupo %2","false","Jogo 2D > 📦 Muitos","Grupos > Desenho e ordem","MANTER / REORGANIZAR","P1","Ordem de desenho e pertencimento são conceitos distintos; preservar ordenação por base e suas implicações no clique.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:980"
"sz_g2d_draw_hitbox","Mostrar a caixa de colisão do sprite %1","false","Jogo 2D > ✨ Aparência","Colisões > Área de contato","AJUSTAR","P1","Mostrar visualização junto da configuração; escala afeta detecção, não toda resolução física.","","Corre Dino","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:995"
"sz_g2d_show_fps","Mostrar os quadros por segundo (FPS) em x %1 y %2","false","Jogo 2D > ✨ Aparência","Desenho e efeitos > Inspecionar","MANTER / REORGANIZAR","P1","Diagnóstico útil para aprender desempenho, em subseção secundária.","","","","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:1005"
"sz_g2d_use_font","Usar a fonte %1","false","Jogo 2D > ✨ Aparência","Jogo e telas > Fonte do jogo","MANTER / REORGANIZAR","P1","Configuração global de fonte, não propriedade isolada de um sprite.","","","","catálogo e inspeção direcionada; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:1021"
"sz_g2d_stage_border","Mostrar a borda da tela, cor %1 espessura %2","false","Jogo 2D > ✨ Aparência","Jogo e telas > Preparar a área do jogo","AJUSTAR","P0","Separar resolução lógica e ocupação da janela; preservar coordenadas e padrões. Preparação não pertence à aparência de um sprite.","","Corre Dino","","catálogo e inspeção direcionada; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:1048"
"sz_g2d_set_backdrop","Pôr o cenário %1 atrás de tudo","false","Jogo 2D > ✨ Aparência","Cenários > Fundos","MANTER / REORGANIZAR","P1","Fundos devem ser descobertos pelo propósito; kits mantêm atalhos. Configurar fundo e desenhá-lo são operações distintas.","","","Cenário do meu desenho","catálogo e inspeção direcionada; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogFundamentals.ts:1068"
"sz_g2d_on_pointer","Quando clicar/tocar, na posição x %1 y %2","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Muralha do Reino","triagem editorial do catálogo; uso externo não medido","event","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:17"
"sz_g2d_on_key","Quando apertar a tecla %1","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Corre Dino | Desafio primeiro jogo","Chuva de números | Quiz de números | Pegue a moeda | Pong | Plataforma com inimigos | Nave contra Asteroides | Asteroides clássico | Dino Run | Dino Corredor | Batalha de Monstrinhos | Aventura do Herói | Chuva de Meteoros | Mundo Pirata | Safári de Monstros | Muralha do Reino | Escalada do Guerreiro | Duelo de Heróis | Portas do Castelo | Vale Ensolarado | Vila Ninja | Treinador de Criaturas | Sobrevivente | Fazenda Feliz | Herói que Evolui | Guerra de Gorilas | Guerra de Gorilas vs Robô | Equilibrista | Balão","triagem editorial do catálogo; uso externo não medido","event","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:36"
"sz_g2d_on_overlap","Quando o sprite %1 começar a encostar no sprite %2","false","Jogo 2D > 💥 Colisões","Colisões > Encostar e bloquear","AJUSTAR","P0","Distinguir evento ao começar, pergunta sobre agora e varredura a cada quadro; preservar ordem dos callbacks e remoção durante iteração.","","","","catálogo e inspeção direcionada; uso externo não medido","event","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:70"
"sz_g2d_on_jump","Quando o sprite %1 pular","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Corre Dino","Mundo Pirata","triagem editorial do catálogo; uso externo não medido","event","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:89"
"sz_g2d_on_any_input","Quando apertar qualquer tecla ou tocar na tela","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","Corre Dino","","triagem editorial do catálogo; uso externo não medido","event","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:106"
"sz_g2d_key_down","a tecla %1 está apertada?","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Aventura do Herói | Duelo de Heróis | Vila Ninja | Herói que Evolui","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:122"
"sz_g2d_pointer_down","o mouse ou dedo está segurado ?","false","Jogo 2D > 🎛️ Controles","Controles > Teclado, ações e toque","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","Chuva de números | Equilibrista | Balão","triagem editorial do catálogo; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:150"
"sz_g2d_touches","o sprite %1 está encostando no sprite %2 ?","false","Jogo 2D > 💥 Colisões","Colisões > Encostar e bloquear","AJUSTAR","P0","Distinguir evento ao começar, pergunta sobre agora e varredura a cada quadro; preservar ordem dos callbacks e remoção durante iteração.","","","Pong | Jogo desenhado por código | Safári de Monstros | Duelo de Heróis | Portas do Castelo | Reino Zero | Treinador de Criaturas","catálogo e inspeção direcionada; uso externo não medido","expression","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:159"
"sz_g2d_create_image_sprite","Criar sprite %1 em x %2 y %3 largura %4 altura %5 com imagem %6","false","Jogo 2D > 🎮 Sprites","Sprites > Criar e trocar aparência","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","O jogo do meu jeito","Herói que anda | Sala com paredes","triagem editorial do catálogo; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:172"
"sz_g2d_set_image","Trocar imagem do sprite %1 para %2","false","Jogo 2D > 🎮 Sprites","Sprites > Criar e trocar aparência","MANTER / REORGANIZAR","P1","Manter a capacidade; reorganizar na família proposta. Ausência nos cursos ou exemplos não prova desuso.","","","","triagem editorial do catálogo; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:191"
"sz_g2d_load_spritesheet","Carregar folha de quadros %1 da imagem %2 com quadros de %3 x %4 px","false","Jogo 2D > 🎬 Animação","Sprites > Animação","AJUSTAR","P1","A animação nomeada já preenche quadros. Explorar apresentação compacta, preservando números personalizados, entradas conectadas e repetição/execução única.","","O jogo do meu jeito","Herói que anda","catálogo e inspeção direcionada; uso externo não medido","start-only-command","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:204"
"sz_g2d_animate_sprite","Animar sprite %1 com a folha %2 na animação %3, do quadro %4 ao %5 a %6 fps","false","Jogo 2D > 🎬 Animação","Sprites > Animação","AJUSTAR","P1","A animação nomeada já preenche quadros. Explorar apresentação compacta, preservando números personalizados, entradas conectadas e repetição/execução única.","","O jogo do meu jeito","Herói que anda","catálogo e inspeção direcionada; uso externo não medido","command","packages/studio/src/official-extensions/game-2d/blockCatalogInteraction.ts:221"
